Country name,Depression,Anxiety,Obsessive Compulsive Disorder,OCD,Mental Health,Counseling,Psychiatrist,Insomnia,Panic Attack,average
Argentina,,,,7,,4,,1,2,3.5
Australia,76,91,38,90,100,10,100,16,71,65.77777778
Austria,32,6,8,21,,,,4,,14.2
Bangladesh,39,13,19,41,10,7,33,9,22,21.44444444
Belgium,17,6,8,31,,,,5,9,12.66666667
Brazil,2,1,1,3,1,1,1,1,1,1.333333333
Bulgaria,,,10,21,,,,7,,12.66666667
Canada,69,79,32,76,60,19,43,15,74,51.88888889
Chile,,,,11,,,,,,11
Colombia,,,,7,,,,1,,4
Croatia,,,,43,,,,,,43
Czechia,,,4,39,,,,5,,16
Denmark,47,12,10,78,,,,6,,30.6
Egypt,13,8,13,31,,4,6,4,20,12.375
Finland,13,12,14,72,,,,6,14,21.83333333
France,28,1,1,11,1,,1,1,2,5.75
Germany,43,5,6,19,2,1,2,4,4,9.555555556
Ghana,71,,65,,,29,,26,,47.75
Greece,10,8,13,49,,,,100,13,32.16666667
Hong Kong,28,17,26,33,14,9,12,8,37,20.44444444
Hungary,,,3,35,,,,4,,14
India,34,20,25,43,10,21,47,10,22,25.77777778
Indonesia,6,12,11,50,5,4,2,27,20,15.22222222
Iran,2,,3,11,,,,2,3,4.2
Iraq,,,18,,,,,,,18
Ireland,69,96,23,92,66,9,54,30,87,58.44444444
Israel,10,8,6,78,,,,4,10,19.33333333
Italy,2,1,3,9,1,5,1,3,2,3
Jamaica,100,,100,,,,,32,91,80.75
Japan,2,1,1,3,,1,1,1,1,1.375
Jordan,,,,,,,,,28,28
Kenya,89,43,47,52,28,50,25,28,45,45.22222222
Kuwait,,,,49,,,,,,49
Lebanon,,,,100,,,,,90,95
Lithuania,,,,43,,,,,,43
Malaysia,41,37,23,56,14,11,28,14,46,30
Mexico,4,3,3,11,1,1,1,1,2,3
Morocco,17,,,25,,,,,,21
Nepal,60,46,71,56,,,35,17,60,49.28571429
Netherlands,10,12,10,49,4,4,3,6,10,12
New Zealand,73,84,37,70,78,11,43,16,79,54.55555556
Nigeria,50,27,30,47,14,22,12,22,31,28.33333333
Norway,17,17,14,86,,,,8,18,26.66666667
Pakistan,50,39,41,58,13,13,64,14,53,38.33333333
Peru,,,,9,,,,,,9
Philippines,91,100,66,62,66,51,73,30,87,69.55555556
Poland,4,3,3,21,,,,6,3,6.666666667
Portugal,8,8,6,25,,,,,,11.75
Qatar,,,,49,,,,,51,50
Romania,8,8,7,33,,,,5,12,12.16666667
Russia,2,1,2,5,,2,,2,2,2.285714286
Saudi Arabia,13,10,17,21,4,,8,4,15,11.5
Serbia,,,,21,,,,7,,14
Singapore,58,50,40,74,31,13,50,21,66,44.77777778
Slovakia,,,,33,,,,7,,20
Slovenia,,,,31,,,,,,31
South Africa,82,74,29,64,21,17,57,25,71,48.88888889
South Korea,8,5,7,9,3,8,,4,,6.285714286
Spain,4,3,2,13,2,1,1,3,2,3.444444444
Sri Lanka,34,,5,37,,,38,,,28.5
Sweden,45,12,7,80,4,,5,7,15,21.875
Switzerland,39,8,14,25,,,,6,8,16.66666667
Taiwan,6,,6,13,,3,,3,2,5.5
Thailand,8,5,6,9,3,5,4,3,7,5.555555556
Trinidad & Tobago,91,,73,,,,,,91,85
Turkey,2,1,4,7,,1,1,3,1,2.5
Ukraine,,,3,,,,,2,,2.5
United Arab Emirates,41,34,30,58,18,8,44,13,46,32.44444444
United Kingdom,69,91,26,88,94,17,33,17,100,59.44444444
United States,80,84,40,72,49,100,69,28,95,68.55555556
Vietnam,6,6,4,17,4,9,5,1,4,6.222222222
Zambia,,,37,,,,,,,37